,211,234,421,681,711,721,8341,911,QUERDENKEN714Marbach,QUERDENKEN_30,QUERDENKEN_5221,QUERDENKEN_5231,QUERDENKEN_621,QUERDENKEN_711,QUERDENKEN_7171,QUERDENKEN_721,QUERDENKEN_722,QUERDENKEN_743,QUERDENKEN_762,QUERDENKEN_791,QUERDENKEN_794,QUERDENKEN_8331,QUERDENKEN_881,Querdenken089Demo,Querdenken381Rostock,Querdenken_713_info,Querdenken_Brandenburg_Chat,QuerdenkerChat,QuerdenkerZwickau,QuerdenkerZwickauNeuigkeitenWelt,RA_Ludwig,qd334info,querdenken421,querdenken491,querdenken511,querdenken511demoterminekanal,querdenken611_infokanal,querdenken911_termine,querdenken_211,querdenken_234,querdenken_2932,querdenken_341,querdenken_351,querdenken_441,querdenken_571,querdenken_6051,querdenken_615,querdenken_681,querdenken_69,querdenken_793,querdenken_911,querdenken_brandenburg,querdenken_bremen,querdenkenhameln,querdenker6,wahrheitstalk,querdenken_30info
querdenken911_termine,0.89686067,0.865518236,0.95404497,0.870258699,0.776746588,0.944595527,0.85053984,0.880812836,0.861651909,0.812306179,0.736036492,0.189350711,0.83290449,0.912957805,0.800495614,0.801267882,0.795987068,0.699361993,0.566596005,0.953271264,0.973388804,0.823288599,0.869116417,0.989084654,0.779063159,0.992355453,0.886261047,0.80092673,0.9676664,0.777602263,0.890568163,0.897060513,0.980442169,0.936128502,0.827168022,0.430059939,0.992071443,1,0.912729544,0.861401074,0.792432479,0.75978543,0.632980913,0.937956846,0.922442282,0.797314728,0.969559669,0.461330012,0.914501102,0.759854574,0.808437877,0.919242132,0.824361189,0.900059523,0.745344207,0.89028216,0.620239336
querdenken_211,0.990447048,0.980503111,0.98042379,0.974850994,0.826658093,0.986927795,0.982777725,0.990022949,0.980152193,0.794481563,0.751198196,0.3021748,0.977616971,0.947441306,0.961606415,0.909719305,0.947291058,0.728750822,0.689115694,0.9558951,0.865872408,0.915332062,0.987209613,0.952677241,0.956596106,0.897261186,0.994015962,0.960976113,0.973190747,0.962760756,0.978671629,0.978067356,0.959065591,0.917757435,0.980130054,0.642635624,0.924323635,0.912729544,1,0.900197537,0.789445617,0.94529281,0.806548631,0.879600832,0.924919205,0.907520869,0.921114645,0.749875068,0.866917045,0.947095495,0.964910913,0.980218242,0.97088727,0.983765894,0.906464179,0.960468688,0.745560558
querdenken_234,0.942707128,0.936350378,0.942603254,0.938173016,0.738832821,0.941514896,0.913098351,0.901701251,0.836668423,0.933838163,0.705779105,0.244758575,0.839745712,0.91023725,0.837826867,0.963005583,0.850070843,0.811990641,0.621081848,0.899969228,0.866394246,0.678937082,0.899837168,0.888243738,0.835603054,0.815281572,0.907589457,0.874178387,0.861443037,0.833975278,0.910523429,0.919214651,0.897347643,0.737977295,0.830808482,0.308615185,0.889862495,0.861401074,0.900197537,1,0.920001441,0.844728683,0.695595674,0.701635848,0.869706226,0.862578707,0.950436863,0.528949418,0.963029219,0.789366713,0.823429144,0.915047384,0.866943355,0.933006223,0.840795049,0.876814261,0.725070655
querdenken_2932,0.853474757,0.857072965,0.877255998,0.86682468,0.77449714,0.863977033,0.825185995,0.798181869,0.71736178,0.949278627,0.8215974,0.43446891,0.768159867,0.88840981,0.785935009,0.942153366,0.792331292,0.950526616,0.763074359,0.81607947,0.876189954,0.482615942,0.780198361,0.827697787,0.742965814,0.766501465,0.794035308,0.7376873,0.734217128,0.705121274,0.865737218,0.846630044,0.830684254,0.693116339,0.708651169,0.197710677,0.791539781,0.792432479,0.789445617,0.920001441,1,0.71920353,0.73013634,0.56364579,0.672191596,0.863327159,0.896179402,0.507013585,0.90472163,0.71811992,0.755472968,0.843312317,0.783877247,0.824279536,0.833970689,0.820837893,0.769435961
querdenken_341,0.951643247,0.966607922,0.891663784,0.964020787,0.856167386,0.917499112,0.978552735,0.975939446,0.974948631,0.663548717,0.760563769,0.470787505,0.965601814,0.910471557,0.967710935,0.896144721,0.982723034,0.72413551,0.759966325,0.898502251,0.725301101,0.861344443,0.981403192,0.814892392,0.993339514,0.752819111,0.971979164,0.996604803,0.87559516,0.993241121,0.948808711,0.959013518,0.86370022,0.820218543,0.950011637,0.604654213,0.800629946,0.75978543,0.94529281,0.844728683,0.71920353,1,0.898373728,0.756412535,0.856712181,0.937512016,0.786485997,0.820758171,0.725723641,0.971721156,0.975243878,0.945700622,0.98814712,0.961980611,0.954038594,0.949295089,0.851731131
querdenken_351,0.831093977,0.867882535,0.776981482,0.877840792,0.947879833,0.802431417,0.879697935,0.866785741,0.868750458,0.559042678,0.91870496,0.793511109,0.892289498,0.880694626,0.91950018,0.831504502,0.948494001,0.85121267,0.960961445,0.804100164,0.683162492,0.668470229,0.858451586,0.695160647,0.920611663,0.665802415,0.845731194,0.873639835,0.717520844,0.876666987,0.890204324,0.88015707,0.766626903,0.776187586,0.808565864,0.489862892,0.655348973,0.632980913,0.806548631,0.695595674,0.73013634,0.898373728,1,0.606519536,0.632603872,0.959731313,0.652560913,0.831899176,0.560863967,0.918075269,0.920633649,0.864340335,0.916493268,0.839568421,0.969554359,0.905324211,0.966156412
querdenken_441,0.824800512,0.792286201,0.865793972,0.794229713,0.745339726,0.869758651,0.797096184,0.849506296,0.877361493,0.579038813,0.65165222,0.166654611,0.812912827,0.831760851,0.767033835,0.644824218,0.765251428,0.505757532,0.484857561,0.911079742,0.860328102,0.927125244,0.84482922,0.918525455,0.769719403,0.951872095,0.854012466,0.790706471,0.960197595,0.782179051,0.82205861,0.841149133,0.925112031,0.956339579,0.823884723,0.557473335,0.936358314,0.937956846,0.879600832,0.701635848,0.56364579,0.756412535,0.606519536,1,0.923643705,0.721622041,0.839354768,0.489323895,0.740556017,0.759122636,0.797315728,0.86681558,0.799399176,0.85039415,0.677873193,0.854238991,0.555895752
querdenken_571,0.907546014,0.885357607,0.914631143,0.886804336,0.736472303,0.926519392,0.881109549,0.915343301,0.909775289,0.703119279,0.625971277,0.138126135,0.839696723,0.874712178,0.80547963,0.786319374,0.82768602,0.574171079,0.475914788,0.948290458,0.848506406,0.893230153,0.921812169,0.912377284,0.836382504,0.902452805,0.923435334,0.894711786,0.96458307,0.858163164,0.871035736,0.907236018,0.936479813,0.864551597,0.860377165,0.442576324,0.957773908,0.922442282,0.924919205,0.869706226,0.672191596,0.856712181,0.632603872,0.923643705,1,0.78570767,0.899213939,0.482619734,0.85039835,0.789481382,0.827134519,0.918040581,0.862594335,0.937180107,0.749196302,0.891087742,0.631607014
querdenken_6051,0.937368239,0.957982215,0.909576371,0.967863191,0.960856038,0.925670834,0.956153157,0.948353177,0.92731922,0.744187585,0.930840181,0.654204889,0.938732326,0.973413191,0.954097537,0.936650669,0.98187916,0.909631214,0.910402871,0.921482001,0.837110405,0.732274138,0.94010516,0.842770769,0.952122264,0.80783215,0.935114604,0.934453325,0.845099193,0.918271113,0.970920354,0.968630585,0.896861342,0.850461264,0.872799455,0.443341681,0.820570833,0.797314728,0.907520869,0.862578707,0.863327159,0.937512016,0.959731313,0.721622041,0.78570767,1,0.832158106,0.755643575,0.765645749,0.932288292,0.951974043,0.959603799,0.965628625,0.943297119,0.989900164,0.97527746,0.952054288
querdenken_615,0.933576246,0.909371956,0.976243378,0.91187439,0.757580832,0.964245788,0.886730048,0.895266953,0.847515268,0.924937483,0.734632481,0.191636875,0.844743253,0.927752277,0.825472567,0.899116054,0.818769404,0.781459378,0.597929244,0.939341372,0.963273724,0.751733085,0.884617119,0.977430338,0.80014414,0.940553923,0.902391862,0.825268722,0.934428063,0.796962886,0.915360694,0.915832563,0.964143599,0.862168067,0.8380015,0.380214462,0.968839794,0.969559669,0.921114645,0.950436863,0.896179402,0.786485997,0.652560913,0.839354768,0.899213939,0.832158106,1,0.48993044,0.982233801,0.773615757,0.818110536,0.928278587,0.844076088,0.921471893,0.792128222,0.888827959,0.655616615
querdenken_681,0.737268939,0.761810166,0.65594647,0.742964702,0.659964281,0.672885604,0.793893272,0.763344468,0.785729419,0.453440848,0.604835937,0.485298865,0.862088284,0.663199594,0.879342804,0.700724358,0.825796285,0.567495353,0.746025818,0.587132339,0.42932917,0.710255447,0.759625423,0.574766816,0.858068689,0.468269607,0.757562829,0.781310382,0.612813992,0.852172205,0.763479363,0.721487359,0.581204504,0.640605439,0.849886172,0.842610873,0.45720769,0.461330012,0.749875068,0.528949418,0.507013585,0.820758171,0.831899176,0.489323895,0.482619734,0.755643575,0.48993044,1,0.421055488,0.907933266,0.869500513,0.700724422,0.823358516,0.697876132,0.83425517,0.71668908,0.671993809
querdenken_69,0.893991327,0.867853763,0.935762392,0.867386369,0.653055394,0.918597001,0.837957484,0.835310302,0.767277806,0.966110541,0.641192468,0.088244104,0.776029889,0.864514068,0.759822185,0.894326608,0.747683099,0.752007214,0.51219554,0.870952905,0.911112635,0.660012933,0.82656079,0.926127172,0.732186945,0.865198004,0.847079363,0.768616301,0.866787504,0.735072201,0.857574681,0.856623667,0.899823045,0.75384805,0.78155668,0.305250922,0.916482852,0.914501102,0.866917045,0.963029219,0.90472163,0.725723641,0.560863967,0.740556017,0.85039835,0.765645749,0.982233801,0.421055488,1,0.699218043,0.74275995,0.865524974,0.777542497,0.871088751,0.730328984,0.811311798,0.578311594
querdenken_793,0.941029408,0.953013164,0.892083471,0.945984699,0.858016044,0.909496419,0.969451537,0.962332633,0.969224842,0.663728239,0.785171438,0.493453199,0.991993916,0.902420254,0.994507938,0.87955438,0.979183497,0.736656368,0.809566732,0.869864721,0.729889626,0.872176002,0.959634543,0.83085101,0.991208364,0.762387299,0.957720088,0.960721382,0.86915286,0.984937607,0.955149457,0.942316012,0.856775244,0.859759082,0.97285229,0.727677214,0.773679606,0.759854574,0.947095495,0.789366713,0.71811992,0.971721156,0.918075269,0.759122636,0.789481382,0.932288292,0.773615757,0.907933266,0.699218043,1,0.996029978,0.932446604,0.98400268,0.930700676,0.960866815,0.938307427,0.825738374
querdenken_911,0.960901331,0.970060283,0.922924282,0.966199448,0.887399042,0.938792188,0.982248662,0.97968143,0.982483102,0.698104893,0.818339974,0.497382974,0.996948162,0.936001974,0.997115428,0.898463044,0.988885552,0.768404793,0.817754598,0.909440718,0.784689551,0.879186074,0.97576872,0.869245979,0.993809742,0.811874024,0.974768615,0.970024453,0.901346958,0.984963537,0.975768538,0.9669512,0.897394643,0.891705521,0.973243553,0.685166275,0.822612707,0.808437877,0.964910913,0.823429144,0.755472968,0.975243878,0.920633649,0.797315728,0.827134519,0.951974043,0.818110536,0.869500513,0.74275995,0.996029978,1,0.960190628,0.993696654,0.955239044,0.968361934,0.964748302,0.843930105
querdenken_brandenburg,0.986206793,0.984909013,0.980569689,0.989233202,0.910171191,0.990535358,0.981748184,0.990669093,0.974818903,0.795686668,0.851600338,0.440788955,0.962845577,0.989968636,0.955194905,0.929357317,0.968052613,0.819868482,0.774381925,0.986438565,0.909547489,0.857733493,0.985326268,0.947246654,0.95508412,0.916244165,0.987507495,0.96092536,0.959540216,0.943950624,0.992364502,0.99838786,0.977607916,0.927182442,0.934598797,0.514402442,0.937949287,0.919242132,0.980218242,0.915047384,0.843312317,0.945700622,0.864340335,0.86681558,0.918040581,0.959603799,0.928278587,0.700724422,0.865524974,0.932446604,0.960190628,1,0.976490291,0.993199904,0.940166285,0.993770441,0.843024098
querdenken_bremen,0.975776389,0.985749409,0.937054928,0.984722138,0.896951091,0.954943375,0.99350148,0.991916258,0.986670588,0.725048444,0.824056149,0.492861732,0.989191472,0.954104337,0.989916032,0.922834163,0.995612898,0.787647428,0.807587846,0.933771181,0.804801521,0.867311958,0.990436684,0.877131387,0.996394709,0.822507561,0.987190101,0.987807037,0.911660718,0.988123925,0.983866143,0.984281045,0.91408092,0.881312176,0.964168381,0.614298071,0.849134312,0.824361189,0.97088727,0.866943355,0.783877247,0.98814712,0.916493268,0.799399176,0.862594335,0.965628625,0.844076088,0.823358516,0.777542497,0.98400268,0.993696654,0.976490291,1,0.977800125,0.973617789,0.978661972,0.865268045
querdenkenhameln,0.991698893,0.990371586,0.974587738,0.991914478,0.871594966,0.987372899,0.987902453,0.994673621,0.976237542,0.795819721,0.797450185,0.383714924,0.958754506,0.971569222,0.950056045,0.934974509,0.964162317,0.782108518,0.726022584,0.976376899,0.87531769,0.866461519,0.99424861,0.930600191,0.960495658,0.886405495,0.994490427,0.97847642,0.955702831,0.958675813,0.983027922,0.994866645,0.961603999,0.891757723,0.943995245,0.516770083,0.928669113,0.900059523,0.983765894,0.933006223,0.824279536,0.961980611,0.839568421,0.85039415,0.937180107,0.943297119,0.921471893,0.697876132,0.871088751,0.930700676,0.955239044,0.993199904,0.977800125,1,0.930201044,0.980847356,0.820431996
querdenker6,0.934439816,0.958542581,0.889690736,0.962585243,0.926977098,0.907172577,0.962439009,0.945888935,0.927998546,0.72533074,0.891093696,0.641894885,0.955438137,0.943771848,0.974287557,0.937435392,0.988194933,0.881010381,0.909455155,0.881297872,0.774231786,0.739730929,0.93938578,0.809291508,0.970475897,0.751005078,0.934028945,0.942941745,0.818400637,0.941667916,0.964109173,0.954317098,0.856884594,0.817543785,0.898711962,0.525865551,0.76764869,0.745344207,0.906464179,0.840795049,0.833970689,0.954038594,0.969554359,0.677873193,0.749196302,0.989900164,0.792128222,0.83425517,0.730328984,0.960866815,0.968361934,0.940166285,0.973617789,0.930201044,1,0.954788894,0.935580505
wahrheitstalk,0.966607194,0.971999355,0.955019948,0.97959152,0.947579275,0.969662539,0.972162486,0.982708872,0.97484487,0.740864919,0.889841871,0.528505993,0.959547955,0.989684244,0.956243489,0.909135431,0.978716306,0.832041526,0.821779957,0.979258767,0.891329199,0.845311564,0.976800492,0.917945213,0.960139242,0.899457125,0.974963666,0.958561962,0.937789163,0.941423563,0.986233763,0.993461634,0.962307891,0.93005678,0.917156618,0.503206334,0.911408579,0.89028216,0.960468688,0.876814261,0.820837893,0.949295089,0.905324211,0.854238991,0.891087742,0.97527746,0.888827959,0.71668908,0.811311798,0.938307427,0.964748302,0.993770441,0.978661972,0.980847356,0.954788894,1,0.886643133
querdenken_30info,0.793551277,0.834853629,0.747187001,0.855380579,0.956467557,0.775094999,0.834667292,0.824260707,0.808274932,0.570852929,0.939727238,0.831948162,0.809048027,0.878963826,0.841639653,0.828247719,0.906756765,0.894201143,0.945251377,0.805668761,0.702360479,0.5582554,0.817421952,0.658558424,0.857701618,0.651577281,0.799847016,0.835653105,0.672613061,0.804257925,0.852266438,0.85942138,0.753015418,0.714877239,0.70620725,0.259223713,0.659720624,0.620239336,0.745560558,0.725070655,0.769435961,0.851731131,0.966156412,0.555895752,0.631607014,0.952054288,0.655616615,0.671993809,0.578311594,0.825738374,0.843930105,0.843024098,0.865268045,0.820431996,0.935580505,0.886643133,1
